SAGE_LIBRARY_ID	NAME
32	SAGE_DICS
58	SAGE_Chen_LNCap_no_DHT
70	SAGE_CPDR_LNCap_T
16	SAGE_OVA432-2
56	SAGE_293-CTRL
71	SAGE_293-IND
83	SAGE_95-259
84	SAGE_95-260
82	SAGE_95-347
85	SAGE_95-348
48	SAGE_A+
39	SAGE_A2780-9
128	SAGE_ASPC
8	SAGE_BB542_whitematter
47	SAGE_Br_N
55	SAGE_Brain_normal_cerebellum_B_BB542
9	SAGE_Brain_astrocyte_normal_CL_NHA5
24	SAGE_Brain_astrocytoma_B_H1126
50	SAGE_Brain_astrocytoma_grade_I_B_H1043
54	SAGE_Brain_astrocytoma_grade_III_B_H1020
68	SAGE_Brain_glioblastoma_CL_H54+EGFRvIII
67	SAGE_Brain_glioblastoma_CL_H54+LacZ
86	SAGE_Brain_glioblastoma_B_GBM1062
4	SAGE_Brain_glioblastoma_B_H1110
7	SAGE_Brain_glioblastoma_B_pooled
3	SAGE_Brain_glioblastoma_CL_H392
41	SAGE_Brain_glioblastoma_control_CL_H247
42	SAGE_Brain_glioblastoma_hypoxia_CL_H247
51	SAGE_Brain_medulloblastoma_B_1273
123	SAGE_Brain_medulloblastoma_B_96-04-P019
126	SAGE_Brain_medulloblastoma_B_97-05-P015
125	SAGE_Brain_medulloblastoma_B_98-04-P494
124	SAGE_Brain_medulloblastoma_B_98-05-P608
33	SAGE_Brain_medulloblastoma_B_757
19	SAGE_Brain_medulloblastoma_CL_H341
18	SAGE_Brain_medulloblastoma_CL_mhh-1
34	SAGE_Brain_normal_cerebellum_B_1
8	SAGE_Brain_normal_cortex_B_BB542
10	SAGE_Brain_normal_cortex_B_pool6
53	SAGE_Brain_normal_thalamus_B_1
43	SAGE_Brain_oligodendroglioma_B_H988
79	SAGE_Breast_carcinoma_CL_MCF7estradiol_10H
80	SAGE_Breast_adenocarcinoma_CL_468+control
81	SAGE_Breast_adenocarcinoma_CL_468+PTEN
27	SAGE_Breast_adenocarcinoma_CL_MDA453
28	SAGE_Breast_adenocarcinoma_CL_SKBR3
36	SAGE_Breast_carcinoma_B_96-349
83	SAGE_Breast_carcinoma_B_95-259
82	SAGE_Breast_carcinoma_B_95-347
85	SAGE_Breast_metastatic_carcinoma_B_95-348
77	SAGE_Breast_carcinoma_CL_MCF7control_0h
76	SAGE_Breast_carcinoma_CL_MCF7control_3h
78	SAGE_Breast_carcinoma_CL_MCF7estradiol_3h
32	SAGE_Breast_carcinoma_MD_DCIS
46	SAGE_Breast_carcinoma_AP_DCIS-2
84	SAGE_Breast_metastatic_carcinoma_B_95-260
26	SAGE_Breast_normal_CL_HMEC-B41
47	SAGE_Breast_normal_AP_Br_N
37	SAGE_Breast_normal_B_40N
38	SAGE_Breast_normal_B_48N
31	SAGE_Breast_normal_epithelium_AP_1
61	SAGE_CAPAN1
62	SAGE_CAPAN2
69	SAGE_CPDR_LNCaP-C
70	SAGE_CPDR_LNCaP-T
2	SAGE_Caco_2
57	SAGE_Chen_LNCaP
58	SAGE_Chen_LNCaP_no-DHT
59	SAGE_Chen_Normal_Pr
60	SAGE_Chen_Tumor_Pr
2	SAGE_Colon_adenocarcinoma_CL_Caco2
13	SAGE_Colon_adenocarcinoma_B_Tu102
14	SAGE_Colon_adenocarcinoma_B_Tu98
1	SAGE_Colon_adenocarcinoma_CL_HCT116
6	SAGE_Colon_adenocarcinoma_CL_RKO
5	SAGE_Colon_adenocarcinoma_CL_SW837
11	SAGE_Colon_normal_B_NC1
12	SAGE_Colon_normal_B_NC2
32	SAGE_DCIS
46	SAGE_DCIS_2
43	SAGE_Duke-H988
51	SAGE_Duke_1273
37	SAGE_Duke_40N
38	SAGE_Duke_48N
33	SAGE_Duke_757
123	SAGE_Duke_96-04-P019
36	SAGE_Duke_96-349
126	SAGE_Duke_97-05-P015
125	SAGE_Duke_98-04-P494
124	SAGE_Duke_98-05-P608
55	SAGE_Duke_BB542_normal_cerebellum
4	SAGE_Duke_GBM_H1110
54	SAGE_Duke_H1020
50	SAGE_Duke_H1043
42	SAGE_Duke_H247_Hypoxia
41	SAGE_Duke_H247_normal
19	SAGE_Duke_H341
3	SAGE_Duke_H392
68	SAGE_Duke_H54_EGFRvIII
67	SAGE_Duke_H54_lacZ
29	SAGE_Duke_HMVEC
30	SAGE_Duke_HMVEC+VEGF
94	SAGE_Duke_Kidney
98	SAGE_Duke_leukocyte
18	SAGE_Duke_mhh-1
44	SAGE_Duke_post_crisis_fibroblasts
45	SAGE_Duke_precrisis_fibroblasts
53	SAGE_Duke_thalamus
15	SAGE_ES2-1
24	SAGE_H1126
66	SAGE_H126
1	SAGE_HCT116
26	SAGE_HMEC-B41
20	SAGE_HOSE_4
63	SAGE_HS766T
65	SAGE_HX
49	SAGE_IOSE29-11
71	SAGE_Kidney_embryonic_CL_293+beta-catenin
56	SAGE_Kidney_embryonic_CL_293-control
94	SAGE_Kidney_normal_B_1
90	SAGE_LN-1
22	SAGE_LNCaP
98	SAGE_Leukocytes_normal_B_1
99	SAGE_Lung_normal_B_1
27	SAGE_MDA453
40	SAGE_ML10-10
93	SAGE_Meso-12
11	SAGE_NC1
12	SAGE_NC2
9	SAGE_NHA(5th)
102	SAGE_OC14
17	SAGE_OV1063-3
16	SAGE_OVCA432-2
21	SAGE_OVP-5
23	SAGE_OVT-6
25	SAGE_OVT-7
35	SAGE_OVT-8
23	SAGE_Ovary_adenocarcinoma_B_OVT-6
25	SAGE_Ovary_adenocarcinoma_B_OVT-7
35	SAGE_Ovary_adenocarcinoma_B_OVT-8
102	SAGE_Ovary_carcinoma_B_OC14
17	SAGE_Ovary_carcinoma_CL_OV1063-3
16	SAGE_Ovary_carcinoma_CL_OVCA432-2
39	SAGE_Ovary_carcinoma_CL_A2780
15	SAGE_Ovary_carcinoma_CL_ES2-1
21	SAGE_Ovary_carcinoma_CL_OVP-5
40	SAGE_Ovary_cystadenoma_CL_ML10-10
49	SAGE_Ovary_normal_CL_IOSE29EC-11
20	SAGE_Ovary_normal_CS_HOSE_4
91	SAGE_PERITO-13
130	SAGE_PL45
72	SAGE_PR317_normal_prostate
73	SAGE_PR317_prostate_tumor
81	SAGE_PTEN
64	SAGE_Panc1
129	SAGE_Panc_91-16113
127	SAGE_Panc_96-6252
129	SAGE_Pancreas_adenocarcinoma_B_91-16113
127	SAGE_Pancreas_adenocarcinoma_B_96-6252
61	SAGE_Pancreas_adenocarcinoma_CL_CAPAN1
62	SAGE_Pancreas_adenocarcinoma_CL_CAPAN2
63	SAGE_Pancreas_adenocarcinoma_CL_HS766T
64	SAGE_Pancreas_adenocarcinoma_CL_Panc1
128	SAGE_Pancreas_carcinoma_CL_ASPC
130	SAGE_Pancreas_carcinoma_CL_PL45
66	SAGE_Pancreas_normal_CS_H126
65	SAGE_Pancreas_normal_CS_HX
86	SAGE_Ped_GBM1062
93	SAGE_Peritoneum_mesothelioma_B_12
91	SAGE_Peritoneum_normal_B_13
88	SAGE_PrCA-1
22	SAGE_Prostate_adenocarcinoma_CL_LNCaP
73	SAGE_Prostate_adenocarcinoma_MD_PR317
90	SAGE_Prostate_carcinoma_B_LN-1
88	SAGE_Prostate_carcinoma_B_PrCA-1
60	SAGE_Prostate_carcinoma_B_pool2
48	SAGE_Prostate_carcinoma_CL_A+
57	SAGE_Prostate_carcinoma_CL_LNCaP
58	SAGE_Prostate_carcinoma_CL_LNCaP_no-DHT
89	SAGE_Prostate_normal_B_1
59	SAGE_Prostate_normal_B_2
52	SAGE_Prostate_normal_CL_TSU
